cluster_label,year,quarter,num_sales,sentiment_score,rating
4,2005,4,0,0.0,0.0
4,2006,1,1,4.9,5.0
4,2006,2,0,0.0,0.0
4,2006,3,0,0.0,0.0
4,2006,4,3,4.633333333333334,5.0
4,2007,1,6,4.283333333333334,3.8333333333333335
4,2007,2,2,3.45,3.5
4,2007,3,7,4.114285714285715,4.857142857142857
4,2007,4,3,4.9,4.666666666666667
4,2008,1,2,2.65,2.5
4,2008,2,3,4.7,4.666666666666667
4,2008,3,0,0.0,0.0
4,2008,4,4,3.7249999999999996,4.0
4,2009,1,1,4.9,5.0
4,2009,2,2,4.9,4.5
4,2009,3,4,4.125,5.0
4,2009,4,2,4.4,3.5
4,2010,1,7,4.728571428571429,4.857142857142857
4,2010,2,7,4.4,4.285714285714286
4,2010,3,5,4.220000000000001,4.0
4,2010,4,5,4.5600000000000005,4.4
4,2011,1,10,4.54,4.2
4,2011,2,15,4.126666666666667,3.8
4,2011,3,10,4.7299999999999995,4.6
4,2011,4,11,4.363636363636363,3.909090909090909
4,2012,1,9,4.611111111111111,4.555555555555555
4,2012,2,9,4.166666666666667,4.222222222222222
4,2012,3,15,4.753333333333333,4.666666666666667
4,2012,4,30,4.569999999999999,4.433333333333334
4,2013,1,37,4.608108108108108,4.486486486486487
4,2013,2,22,4.586363636363637,4.7272727272727275
4,2013,3,49,4.365306122448979,4.163265306122449
4,2013,4,52,4.4980769230769235,4.519230769230769
4,2014,1,70,4.4957142857142856,4.3428571428571425
4,2014,2,44,4.047727272727273,3.977272727272727
4,2014,3,69,4.03768115942029,4.202898550724638
4,2014,4,121,4.225619834710744,4.256198347107438
4,2015,1,221,4.3,4.375565610859729
4,2015,2,244,4.289754098360656,4.422131147540983
4,2015,3,352,4.148863636363637,4.284090909090909
4,2015,4,354,4.111299435028249,4.135593220338983
4,2016,1,536,4.252798507462686,4.2966417910447765
4,2016,2,547,4.213162705667276,4.270566727605119
4,2016,3,794,4.232115869017632,4.301007556675063
4,2016,4,820,4.173170731707317,4.245121951219512
4,2017,1,973,4.210380267214799,4.319630010277493
4,2017,2,847,4.194923258559622,4.20543093270366
4,2017,3,1047,4.07956064947469,4.07163323782235
4,2017,4,808,4.12970297029703,4.132425742574258
4,2018,1,975,4.085333333333333,4.13025641025641
4,2018,2,914,4.049781181619256,4.070021881838074
4,2018,3,1028,4.053210116731518,4.056420233463035
4,2018,4,809,4.1761433868974045,4.169344870210136
4,2019,1,937,4.183884738527214,4.271077908217716
4,2019,2,932,4.204184549356223,4.299356223175966
4,2019,3,1188,4.191835016835016,4.286195286195286
4,2019,4,1158,4.183592400690847,4.301381692573402
4,2020,1,1036,4.227992277992278,4.332046332046332
4,2020,2,443,4.2297968397291195,4.3250564334085775
4,2020,3,496,4.310080645161291,4.451612903225806
4,2020,4,414,4.158454106280193,4.195652173913044
4,2021,1,408,4.190196078431373,4.2818627450980395
4,2021,2,362,4.111602209944752,4.143646408839779
4,2021,3,342,4.126023391812865,4.201754385964913
4,2021,4,218,4.120183486238532,4.26605504587156
4,2022,1,211,4.187203791469194,4.246445497630332
4,2022,2,212,4.254716981132075,4.349056603773585
4,2022,3,246,4.009756097560976,3.991869918699187
4,2022,4,162,4.0,4.098765432098766
4,2023,1,126,4.096031746031747,4.2063492063492065
4,2023,2,40,4.285,4.55
4,2023,3,19,3.931578947368421,4.0
5,2002,3,0,0.0,0.0
5,2002,4,0,0.0,0.0
5,2003,1,0,0.0,0.0
5,2003,2,0,0.0,0.0
5,2003,3,0,0.0,0.0
5,2003,4,0,0.0,0.0
5,2004,1,0,0.0,0.0
5,2004,2,0,0.0,0.0
5,2004,3,0,0.0,0.0
5,2004,4,0,0.0,0.0
5,2005,1,0,0.0,0.0
5,2005,2,0,0.0,0.0
5,2005,3,0,0.0,0.0
5,2005,4,0,0.0,0.0
5,2006,1,0,0.0,0.0
5,2006,2,0,0.0,0.0
5,2006,3,0,0.0,0.0
5,2006,4,0,0.0,0.0
5,2007,1,1,4.5,5.0
5,2007,2,1,4.9,4.0
5,2007,3,0,0.0,0.0
5,2007,4,1,4.8,5.0
5,2008,1,1,4.9,5.0
5,2008,2,1,4.9,4.0
5,2008,3,0,0.0,0.0
5,2008,4,1,4.6,5.0
5,2009,1,3,4.933333333333334,5.0
5,2009,2,3,4.666666666666667,4.333333333333333
5,2009,3,4,3.7,2.75
5,2009,4,4,4.5,4.5
5,2010,1,7,4.328571428571428,4.571428571428571
5,2010,2,0,0.0,0.0
5,2010,3,11,4.190909090909091,3.5454545454545454
5,2010,4,2,4.9,5.0
5,2011,1,3,4.566666666666667,5.0
5,2011,2,2,4.95,5.0
5,2011,3,2,3.0,4.5
5,2011,4,7,4.457142857142857,4.857142857142857
5,2012,1,7,4.742857142857143,4.857142857142857
5,2012,2,4,4.175,3.5
5,2012,3,10,4.46,4.6
5,2012,4,22,4.527272727272727,3.9545454545454546
5,2013,1,40,4.25,4.275
5,2013,2,32,4.459375,4.40625
5,2013,3,34,4.426470588235294,4.205882352941177
5,2013,4,65,4.243076923076924,4.107692307692307
5,2014,1,82,4.331707317073171,4.158536585365853
5,2014,2,70,4.27,4.085714285714285
5,2014,3,75,4.250666666666667,4.346666666666667
5,2014,4,178,4.167415730337078,4.252808988764045
5,2015,1,329,4.143161094224924,4.109422492401216
5,2015,2,312,4.198397435897436,4.121794871794871
5,2015,3,341,4.204985337243402,4.214076246334311
5,2015,4,425,4.166352941176471,4.047058823529412
5,2016,1,725,4.2217931034482765,4.206896551724138
5,2016,2,517,4.196518375241779,4.06963249516441
5,2016,3,575,4.175999999999999,4.062608695652174
5,2016,4,927,4.153937432578209,4.1316073354908305
5,2017,1,1353,4.226459719142646,4.29120473022912
5,2017,2,1011,4.1995054401582586,4.0850642927794265
5,2017,3,916,4.131877729257642,4.045851528384279
5,2017,4,948,4.134388185654008,4.055907172995781
5,2018,1,1136,4.1352112676056345,4.127640845070423
5,2018,2,920,4.172282608695652,3.998913043478261
5,2018,3,850,4.154705882352941,4.063529411764706
5,2018,4,1035,4.183671497584541,4.121739130434783
5,2019,1,1093,4.240347666971638,4.205855443732846
5,2019,2,957,4.2272727272727275,4.163009404388715
5,2019,3,815,4.144294478527607,4.045398773006135
5,2019,4,1088,4.239613970588235,4.220588235294118
5,2020,1,974,4.243429158110883,4.132443531827516
5,2020,2,490,4.098979591836735,3.9326530612244897
5,2020,3,597,4.237353433835845,4.100502512562814
5,2020,4,655,4.186564885496183,4.033587786259542
5,2021,1,838,4.156801909307876,3.9749403341288785
5,2021,2,717,4.074616457461646,3.8633193863319386
5,2021,3,560,4.0773214285714285,3.8660714285714284
5,2021,4,492,4.10609756097561,3.9065040650406506
5,2022,1,482,4.107468879668049,4.0
5,2022,2,336,4.0773809523809526,3.857142857142857
5,2022,3,288,3.9972222222222222,3.84375
5,2022,4,288,4.081250000000001,3.982638888888889
5,2023,1,250,4.1296,4.028
5,2023,2,54,4.151851851851852,3.6481481481481484
5,2023,3,22,4.154545454545455,4.636363636363637
6,2002,3,0,0.0,0.0
6,2002,4,0,0.0,0.0
6,2003,1,0,0.0,0.0
6,2003,2,0,0.0,0.0
6,2003,3,0,0.0,0.0
6,2003,4,0,0.0,0.0
6,2004,1,0,0.0,0.0
6,2004,2,0,0.0,0.0
6,2004,3,0,0.0,0.0
6,2004,4,0,0.0,0.0
6,2005,1,0,0.0,0.0
6,2005,2,0,0.0,0.0
6,2005,3,0,0.0,0.0
6,2005,4,0,0.0,0.0
6,2006,1,0,0.0,0.0
6,2006,2,0,0.0,0.0
6,2006,3,0,0.0,0.0
